"","diffMeth.per.chr.chr","diffMeth.per.chr.number.of.hypermethylated","diffMeth.per.chr.percentage.of.hypermethylated","diffMeth.per.chr.number.of.hypomethylated","diffMeth.per.chr.percentage.of.hypomethylated","diffMeth.all.number.of.hypermethylated","diffMeth.all.percentage.of.hypermethylated","diffMeth.all.number.of.hypomethylated","diffMeth.all.percentage.of.hypomethylated"
"135","C14086",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"136","C14098",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"137","C14110",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"138","C14134",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"139","C14150",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"140","C14152",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"141","C14162",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"142","C14180",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"143","C14184",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"144","C14202",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"145","C14204",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"146","C14212",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"147","C14220",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"148","C14222",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"149","C14226",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"150","C14230",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"151","C14232",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"152","C14236",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"153","C14238",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"154","C14248",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"155","C14250",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"156","C14272",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"157","C14276",0,0,0,0,409,0.00784909623126316,317,0.00608352935283722
"158","C14282",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"159","C14300",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"160","C14304",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"161","C14306",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"162","C14308",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"163","C14312",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
"164","C14334",0,NA,0,NA,409,0.00784909623126316,317,0.00608352935283722
